number,journal,year,volume,pages,authors,title,doi,url,text
54,Proc. Natl. Acad. Sci. U.S.A.,2009,106,12729-34,"Niña C. Hartman, Jeffrey A. Nye, and Jay T. Groves",Cluster size regulates protein sorting in the immunological synapse.,10.1073/pnas.0902621106,http://dx.doi.org/10.1073/pnas.0902621106,""
55,J. Struct. Biol.,2009,168,1-2,Lukas K. Tamm and Jay T. Groves,Supported membranes in structural biology.,10.1016/j.jsb.2009.07.016,http://dx.doi.org/10.1016/j.jsb.2009.07.016,""
56,Langmuir,2009,25,3713-7,"Emel I. Goksu, Barbara A. Nellis, Wan-Chen Lin, Joe H. Satcher, Jay T. Groves, Subhash H. Risbud, and Marjorie L. Longo",Effect of support corrugation on silica xerogel--supported phase-separated lipid bilayers.,"",,""
57,Nat. Chem. Biol.,2009,5,783-4,Jay T. Groves,The physical chemistry of membrane curvature.,10.1038/nchembio.247,http://dx.doi.org/10.1038/nchembio.247,""
58,Nat. Immunol.,2010,11,90-6,"Björn F. Lillemeier, Manuel A. Mörtelmaier, Martin B. Forstner, Johannes B. Huppa, Jay T. Groves, and Mark M. Davis",TCR and Lat are expressed on separate protein islands on T cell membranes and concatenate during activation.,10.1038/ni.1832,http://dx.doi.org/10.1038/ni.1832,""
59,Science,2010,327,1380-5,"Khalid Salaita, Pradeep M. Nair, Rebecca S. Petit, Richard M. Neve, Debopriya Das, Joe W. Gray, and Jay T. Groves",Restriction of receptor movement alters cellular response: physical force sensing by EphA2.,10.1126/science.1181729,http://dx.doi.org/10.1126/science.1181729,""
60,Nat. Rev. Mol. Cell Biol.,2010,11,342-52,Boryana N. Manz and Jay T. Groves,Spatial organization and signal transduction at intercellular junctions.,10.1038/nrm2883,http://dx.doi.org/10.1038/nrm2883,""
61,Nat. Struct. Mol. Biol.,2010,17,659-65,Jay T. Groves and John Kuriyan,Molecular mechanisms in signal transduction at the membrane.,10.1038/nsmb.1844,http://dx.doi.org/10.1038/nsmb.1844,""
62,Med Biol Eng Comput,2010,48,955-63,Cheng-han Yu and Jay T. Groves,Engineering supported membranes for cell biology.,10.1007/s11517-010-0634-x,http://dx.doi.org/10.1007/s11517-010-0634-x,""
63,PLoS ONE,2010,5,e11878,"Cheng-han Yu, Hung-jen Wu, Yoshihisa Kaizuka, Ronald D. Vale, and Jay T. Groves",Altered actin centripetal retrograde flow in physically restricted immunological synapses.,10.1371/journal.pone.0011878,http://dx.doi.org/10.1371/journal.pone.0011878,""
64,Proc. Natl. Acad. Sci. U.S.A.,2010,107,19213-8,"Heather M. Jensen, Aaron E. Albers, Konstantin R. Malley, Yuri Y. Londer, Bruce E. Cohen, Brett A. Helms, Peter Weigele, Jay T. Groves, and Caroline M. Ajo-Franklin",Engineering of a synthetic electron conduit in living cells.,10.1073/pnas.1009645107,http://dx.doi.org/10.1073/pnas.1009645107,""
65,Commun Integr Biol,2010,3,454-7,Khalid Salaita and Jay T. Groves,Roles of the cytoskeleton in regulating EphA2 signals.,10.4161/cib.3.5.12418,http://dx.doi.org/10.4161/cib.3.5.12418,""
66,Curr Protoc Chem Biol,2010,2,235-69,"Wan-Chen Lin, Cheng-Han Yu, Sara Triffo, and Jay T. Groves","Supported membrane formation, characterization, functionalization, and patterning for application in biological science and technology.",10.1002/9780470559277.ch100131,http://dx.doi.org/10.1002/9780470559277.ch100131,""
67,J Phys Chem A,2011,115,3867-75,"Adam W. Smith, Alexander A. Smoligovets, and Jay T. Groves",Patterned two-photon photoactivation illuminates spatial reorganization in live cells.,10.1021/jp108295s,http://dx.doi.org/10.1021/jp108295s,""
94,Nat Protoc,2011,6,523-39,"Pradeep M. Nair, Khalid Salaita, Rebecca S. Petit, and Jay T. Groves",Using patterned supported lipid membranes to investigate the role of receptor organization in intercellular signaling.,10.1038/nprot.2011.302,http://dx.doi.org/10.1038/nprot.2011.302,""
96,Curr. Opin. Cell Biol.,2011,23,370-6,Niña C. Hartman and Jay T. Groves,Signaling clusters in the cell membrane.,10.1016/j.ceb.2011.05.003,http://dx.doi.org/10.1016/j.ceb.2011.05.003,""
97,Cell,2011,146,732-45,"Luke H. Chao, Margaret M. Stratton, Il-Hyung Lee, Oren S. Rosenberg, Joshua Levitz, Daniel J. Mandell, Tanja Kortemme, Jay T. Groves, Howard Schulman, and John Kuriyan",A mechanism for tunable autoinhibition in the structure of a human Ca2+/calmodulin- dependent kinase II holoenzyme.,10.1016/j.cell.2011.07.038,http://dx.doi.org/10.1016/j.cell.2011.07.038,""
98,Nano Lett.,2011,11,4912-8,"Theobald Lohmüller, Sara Triffo, Geoff P. O'Donoghue, Qian Xu, Michael P. Coyle, and Jay T. Groves",Supported membranes embedded with fixed arrays of gold nanoparticles.,10.1021/nl202847t,http://dx.doi.org/10.1021/nl202847t,""
100,Biophys. J.,2011,101,2731-9,"Qian Xu, Wan-Chen Lin, Rebecca S. Petit, and Jay T. Groves",EphA2 receptor activation by monomeric Ephrin-A1 on supported membranes.,10.1016/j.bpj.2011.10.039,http://dx.doi.org/10.1016/j.bpj.2011.10.039,""
101,J Phys Chem B,2012,116,3630-40,"Steven M. Abel, Jeroen P. Roose, Jay T. Groves, Arthur Weiss, and Arup K. Chakraborty",The membrane environment can promote or suppress bistability in cell signaling networks.,10.1021/jp2102385,http://dx.doi.org/10.1021/jp2102385,""
100,PLoS ONE,2012,7,e30704,"Yan Yu, Nicole C. Fay, Alexander A. Smoligovets, Hung-Jen Wu, and Jay T. Groves",Myosin IIA modulates T cell receptor transport and CasL phosphorylation during early immunological synapse formation.,10.1371/journal.pone.0030704,http://dx.doi.org/10.1371/journal.pone.0030704,""
103,J. Cell. Sci.,2012,125,735-42,"Alexander A. Smoligovets, Adam W. Smith, Hung-Jen Wu, Rebecca S. Petit, and Jay T. Groves",Characterization of dynamic actin associations with T-cell receptor microclusters in primary T cells.,10.1242/jcs.092825,http://dx.doi.org/10.1242/jcs.092825,""
104,Annu Rev Biophys,2012,41,543-56,Michael L. Dustin and Jay T. Groves,Receptor signaling clusters in the immune synapse.,10.1146/annurev-biophys-042910-155238,http://dx.doi.org/10.1146/annurev-biophys-042910-155238,""
105,J Phys Chem B,2012,116,5122-31,"Sharon Rozovsky, Martin B. Forstner, Holger Sondermann, and Jay T. Groves",Single molecule kinetics of ENTH binding to lipid membranes.,10.1021/jp210045r,http://dx.doi.org/10.1021/jp210045r,""
106,J. Am. Chem. Soc.,2012,134,9549-52,"Brian Belardi, Geoff P. O'Donoghue, Adam W. Smith, Jay T. Groves, and Carolyn R. Bertozzi",Investigating cell surface galectin-mediated cross-linking on glycoengineered cells.,10.1021/ja301694s,http://dx.doi.org/10.1021/ja301694s,""
107,J. Am. Chem. Soc.,2012,134,10833-42,"Sara B. Triffo, Hector H. Huang, Adam W. Smith, Eldon T. Chou, and Jay T. Groves",Monitoring lipid anchor organization in cell membranes by PIE-FCCS.,10.1021/ja300374c,http://dx.doi.org/10.1021/ja300374c,""
108,Nat. Methods,2012,9,1189-91,"Hung-Jen Wu, Joel Henzie, Wan-Chen Lin, Christopher Rhodes, Zhu Li, Elodie Sartorel, Jeremy Thorner, Peidong Yang, and Jay T. Groves",Membrane-protein binding measured with solution-phase plasmonic nanocube sensors.,10.1038/nmeth.2211,http://dx.doi.org/10.1038/nmeth.2211,""
109,Cell,2013,152,543-56,"Nicholas F. Endres, Rahul Das, Adam W. Smith, Anton Arkhipov, Erika Kovacs, Yongjian Huang, Jeffrey G. Pelton, Yibing Shan, David E. Shaw, David E. Wemmer, Jay T. Groves, and John Kuriyan",Conformational coupling across the plasma membrane in activation of the EGF receptor.,10.1016/j.cell.2012.12.032,http://dx.doi.org/10.1016/j.cell.2012.12.032,""
110,Nat Mater,2013,12,96-7,Jay T. Groves,Cell membranes: Glycans' imprints.,10.1038/nmat3555,http://dx.doi.org/10.1038/nmat3555,""
111,J. Am. Chem. Soc.,2013,135,5012-6,"Michael P. Coyle, Qian Xu, Samantha Chiang, Matthew B. Francis, and Jay T. Groves",DNA-mediated assembly of protein heterodimers on membrane surfaces.,10.1021/ja3101215,http://dx.doi.org/10.1021/ja3101215,""
112,J. Cell. Sci.,2013,126,1049-58,"Yan Yu, Alexander A. Smoligovets, and Jay T. Groves",Modulation of T cell signaling by the actin cytoskeleton.,10.1242/jcs.098210,http://dx.doi.org/10.1242/jcs.098210,""
113,Nano Lett.,2013,13,3059-64,"Theobald Lohmüller, Qian Xu, and Jay T. Groves",Nanoscale obstacle arrays frustrate transport of EphA2-Ephrin-A1 clusters in cancer cell lines.,10.1021/nl400874v,http://dx.doi.org/10.1021/nl400874v,""
114,Elife (Cambridge),2013,2,e00778,"Geoff P. O'Donoghue, Rafal M. Pielak, Alexander A. Smoligovets, Jenny J. Lin, and Jay T. Groves",Direct single molecule measurement of TCR triggering by agonist pMHC in living primary T cells.,10.7554/eLife.00778,http://dx.doi.org/10.7554/eLife.00778,""
115,Biophys. J.,2013,105,L11-3,"Alexander A. Smoligovets, Adam W. Smith, and Jay T. Groves",Ratiometric imaging of the T-cell actin cytoskeleton reveals the nature of receptor-induced cytoskeletal enrichment.,10.1016/j.bpj.2013.06.031,http://dx.doi.org/10.1016/j.bpj.2013.06.031,""
116,Elife (Cambridge),2014,3,e02490,"Margaret Stratton, Il-Hyung Lee, Moitrayee Bhattacharyya, Sune M. Christensen, Luke H. Chao, Howard Schulman, Jay T. Groves, and John Kuriyan",Correction: Activation-triggered subunit exchange between CaMKII holoenzymes facilitates the spread of kinase activity.,"",,""
117,Proc. Natl. Acad. Sci. U.S.A.,2014,111,2996-3001,"Wan-Chen Lin, Lars Iversen, Hsiung-Lin Tu, Christopher Rhodes, Sune M. Christensen, Jeffrey S. Iwig, Scott D. Hansen, William Y C. Huang, and Jay T. Groves",H-Ras forms dimers on membrane surfaces via a protein-protein interface.,10.1073/pnas.1321155111,http://dx.doi.org/10.1073/pnas.1321155111,""
118,Nano Lett.,2014,14,2293-8,"Niña G. Caculitan, Hiroyuki Kai, Eulanca Y. Liu, Nicole Fay, Yan Yu, Theobald Lohmüller, Geoff P. O'Donoghue, and Jay T. Groves",Size-based chromatography of signaling clusters in a living cell membrane.,10.1021/nl404514e,http://dx.doi.org/10.1021/nl404514e,""
119,Biophys. J.,2014,106,2196-205,"Adrienne C. Greene, Samuel J. Lord, Aiwei Tian, Christopher Rhodes, Hiroyuki Kai, and Jay T. Groves",Spatial organization of EphA2 at the cell-cell interface modulates trans-endocytosis of ephrinA1.,10.1016/j.bpj.2014.03.043,http://dx.doi.org/10.1016/j.bpj.2014.03.043,""
120,Science,2014,345,50-4,"Lars Iversen, Hsiung-Lin Tu, Wan-Chen Lin, Sune M. Christensen, Steven M. Abel, Jeff Iwig, Hung-Jen Wu, Jodi Gureasko, Christopher Rhodes, Rebecca S. Petit, Scott D. Hansen, Peter Thill, Cheng-Han Yu, Dimitrios Stamou, Arup K. Chakraborty, John Kuriyan, and Jay T. Groves",Molecular kinetics. Ras activation by SOS: allosteric regulation by altered fluctuation dynamics.,10.1126/science.1250373,http://dx.doi.org/10.1126/science.1250373,""
